1798	1936
2048	2142
2223	2282
2428	2526
2690	2809
2885	2977
3064	3109
3203	4017
4342	4818
5139	5427
5536	5590
5746	5893
6657	7772
9392	9602
10106	10161
10268	10423
10507	11097
11302	11604
11698	11979
13854	13986
14325	14489
14620	14671
15244	15247
16831	17133
17209	17351
17430	17648
17723	17981
18208	18357
18489	18782
19659	19827
20110	20444
25507	25890
26242	26801
26895	27041
27155	27449
28060	28419
28525	28809
28903	29220
29300	29530
29625	29725
29801	29912
29999	30355
30431	30556
31437	31550
31761	31997
32083	32220
32294	32377
32487	32576
32668	32853
32970	33101
33194	33376
33479	33663
33788	33977
35013	35141
35322	35555
35852	36127
36214	36490
36576	36874
36950	37138
37220	37429
37515	37578
37667	37816
37893	38176
39234	39357
39464	39582
39674	39769
39857	39964
40043	40129
40224	40427
40508	40567
40668	40836
40944	41017
41136	41239
41319	41865
45177	45209
45312	45377
45475	45522
46619	47040
47118	47470
47559	47688
47773	47897
48007	48143
51732	51914
52155	52364
52889	52951
53043	53212
53300	53357
53452	53556
53636	53717
53846	53958
54129	54344
54655	54928
55009	55709
55816	55944
56030	56192
56274	56509
56702	56776
56886	57449
58043	58690
59484	60336
60493	60837
61591	61850
61927	62202
62456	63412
63501	63674
63762	63806
63891	64001
64105	64182
64294	64358
64461	65127
65397	65678
66471	66917
67236	67642
67726	67885
67984	68169
68265	68477
69826	69932
70072	70711
70962	71348
72182	72297
72382	72457
72528	72626
72701	73159
73599	73737
73814	74199
74960	75295
76937	77317
78545	78937
79404	79898
80244	80523
80639	80939
81040	81150
81247	81337
81418	81467
81558	82005
82892	83116
83194	83439
83538	84297
84524	84720
85754	85802
86302	86369
86599	86709
86824	86910
87011	87219
87306	87612
88252	88610
88693	88881
88970	89090
89168	89356
90817	91328
91514	91637
91730	91866
92262	92397
92485	92822
93110	93335
94343	94609
94685	94759
94854	95021
95107	95164
95246	95484
95589	95660
95804	95870
95957	96001
96109	96344
96551	96682
96858	96932
97014	97076
97230	97312
97418	97460
97609	97767
98015	98096
98276	98346
98432	98531
98623	98829
99005	99090
99214	99288
99485	99577
99858	99962
100084	100154
100263	100416
100547	100610
100735	100818
100970	101016
101297	101356
101514	101603
102798	102811
103126	103414
103501	103773
104054	104287
106296	106436
106730	106806
106960	107151
107239	107422
107513	107611
107681	107848
107938	108214
108404	108540
108620	108698
108781	108816
108914	109107
109182	109336
109410	109537
109659	109913
110059	110751
110832	110920
111150	111728
111794	111894
111986	112124
112218	112370
112473	112639
112835	112928
113075	113197
114290	114604
115359	115664
116231	116548
117254	117568
118873	119178
119618	119917
121120	121440
122140	122448
123412	123720
124596	124669
124770	125130
125234	125295
125392	125464
125559	125626
125840	125918
126044	126097
126187	126264
126335	126387
126564	126631
126711	126805
127557	128465
129319	130719
135024	135078
135175	135392
135958	136493
136578	137460
137772	138731
139033	139722
139856	140363
140450	140580
140717	141031
141117	141273
141432	141724
141860	141919
142004	142060
142155	142268
142385	142564
142651	142840
143049	143179
143268	143477
144288	144455
144543	144648
144740	144798
144889	144987
